imdb_id,tvdb_id,item_type,title,year,genres,runtime,actors,rating,rating_votecount,pg_rating,season_count,banner_url,drive_url,file_id
tt0773262,79349,series,Dexter,2006,"Crime,Drama,Mystery",60,"Michael C. Hall,David Zayas",8.6,797243,16,8,https://artworks.thetvdb.com/banners/v4/series/79349/backgrounds/62f94a734c499_t.jpg,https://drive.google.com/file/d/1DnwcrDN1iE6JfKGtHqIynMx4Y92rpIzW/view?usp=drive_link,1DnwcrDN1iE6JfKGtHqIynMx4Y92rpIzW
tt0780521,866,movie,The Princess and the Frog,2009,"Adventure,Animation,Comedy",97,"Michael-Leon Wooley,Keith David,Bruno Campos",7.2,171633,UNAVAILABLE,MOVIE,https://artworks.thetvdb.com/banners/v4/movie/866/backgrounds/64ac72052f164.jpg,https://drive.google.com/file/d/1oM14jISuNmU1mo-aoOfqXI7LrPy1E6xC/view?usp=drive_link,1oM14jISuNmU1mo-aoOfqXI7LrPy1E6xC
tt0785006,8362,movie,Hotel for Dogs,2009,Comedy,100,"Jake T. Austin,Johnny Simmons,Don Cheadle",5.5,25363,UNAVAILABLE,MOVIE,https://artworks.thetvdb.com/banners/v4/movie/8362/backgrounds/65998ba7ec1fe.jpg,https://drive.google.com/file/d/1uZuyd2004gNCXDZMYDuuJJXlgBCICCK0/view?usp=drive_link,1uZuyd2004gNCXDZMYDuuJJXlgBCICCK0
tt0790686,3463,movie,Mirrors,2008,"Horror,Mystery",110,"Kiefer Sutherland,John Shrapnel,Cameron Boyce",6.1,115088,UNAVAILABLE,MOVIE,https://artworks.thetvdb.com/banners/v4/movie/3463/backgrounds/65dec46fe2d17.jpg,https://drive.google.com/file/d/1OcCRScv5BVgnfr87OVNZ7QlrKz4iYDxD/view?usp=drive_link,1OcCRScv5BVgnfr87OVNZ7QlrKz4iYDxD
tt0791304,3451,movie,Georgia Rule,2007,"Comedy,Drama",113,"Dermot Mulroney,Cary Elwes,Garrett Hedlund",5.9,27622,UNAVAILABLE,MOVIE,https://artworks.thetvdb.com/banners/v4/movie/3451/backgrounds/6511e4a0b4e41.jpg,https://drive.google.com/file/d/10nk07aeq9X6h0smwbrwmN35YHkzl1uEz/view?usp=drive_link,10nk07aeq9X6h0smwbrwmN35YHkzl1uEz
tt0795461,858,movie,Scary Movie V,2013,"Comedy,Horror",86,"Simon Rex,Charlie Sheen,Dylan Morris",3.5,78470,UNAVAILABLE,MOVIE,https://artworks.thetvdb.com/banners/v4/movie/858/backgrounds/672fa2d5dd977.jpg,https://drive.google.com/file/d/1YJajDqTdeYKnAfug4nKBIxFqyoD4KQj0/view?usp=drive_link,1YJajDqTdeYKnAfug4nKBIxFqyoD4KQj0
tt0800080,584,movie,The Incredible Hulk,2008,"Action,Adventure,Sci-Fi",112,"Edward Norton,Tim Roth,William Hurt",6.6,531989,12,MOVIE,https://artworks.thetvdb.com/banners/v4/movie/584/backgrounds/654019222cb14.jpg,https://drive.google.com/file/d/1KpTBb0sMLT2BsD24zPEyNkLOX4977LTM/view?usp=drive_link,1KpTBb0sMLT2BsD24zPEyNkLOX4977LTM
tt0800369,123,movie,Thor,2011,"Action,Fantasy",115,"Chris Hemsworth,Anthony Hopkins,Tom Hiddleston",7.0,914355,12,MOVIE,https://disney.images.edge.bamgrid.com/ripcut-delivery/v2/variant/disney/c715fbe0-4072-4997-8258-50641377e3b4/compose?format=webp&label=standard_regular_prompt_178&width=800,https://drive.google.com/file/d/1TVAG--wqIRF_eyOOeYqCqYcZ5tlUM7Mz/view?usp=drive_link,1TVAG--wqIRF_eyOOeYqCqYcZ5tlUM7Mz
tt0804452,6988,movie,Bratz,2007,Comedy,110,"Stephen Ford,Ian Nelson,Jon Voight",3.1,25079,UNAVAILABLE,MOVIE,https://artworks.thetvdb.com/banners/v4/movie/6988/backgrounds/6585eb178093b.jpg,https://drive.google.com/file/d/1lmYUMcZjRN8eiM58l05d6L5L_qdN5j_B/view?usp=drive_link,1lmYUMcZjRN8eiM58l05d6L5L_qdN5j_B
tt0804484,366972,series,Foundation,2021,"Drama,Sci-Fi",60,"Jared Harris,Terrence Mann,Lee Pace",7.6,101128,12,3,https://artworks.thetvdb.com/banners/v4/series/366972/backgrounds/6150801d8380f.jpg,https://drive.google.com/file/d/1KxQnLpAfiEfTPgrb6851tQVXu66kebTK/view?usp=drive_link,1KxQnLpAfiEfTPgrb6851tQVXu66kebTK
