imdb_id,tvdb_id,item_type,title,year,genres,runtime,actors,rating,rating_votecount,pg_rating,season_count,banner_url
tt5097410,30571,movie,Noelle,2019,"Comedy,Fantasy",100,"Kingsley Ben-Adir,Billy Eichner,Bill Hader",6.3,27372,AL,MOVIE,https://artworks.thetvdb.com/banners/movies/30571/backgrounds/25872313.jpg
tt5113040,20235,movie,The Secret Life of Pets 2,2019,"Adventure,Animation,Comedy",86,"Harrison Ford,Patton Oswalt,Kevin Hart",6.4,70643,UNAVAILABLE,MOVIE,https://artworks.thetvdb.com/banners/movies/20235/backgrounds/2195437.jpg
tt5113044,76866,movie,Minions: The Rise of Gru,2022,"Adventure,Animation,Comedy",87,"Pierre Coffin,Alan Arkin,Steve Carell",6.5,93024,6,MOVIE,https://artworks.thetvdb.com/banners/v4/movie/76866/backgrounds/62e8c552365d0.jpg
tt5151570,332452,movie,Mrs. Harris Goes to Paris,2022,"Comedy,Drama",115,"Jason Isaacs,Lucas Bravo,Lambert Wilson",7.1,31065,UNAVAILABLE,MOVIE,https://artworks.thetvdb.com/banners/v4/movie/332452/backgrounds/62e8c4ea2afee.jpg
tt5171438,328711,series,Star Trek: Discovery,2017,"Action,Adventure,Drama",60,Anthony Rapp,7.0,140074,12,5,https://artworks.thetvdb.com/banners/v4/series/328711/backgrounds/617346d416af4.jpg
tt5180504,362696,series,The Witcher,2019,"Action,Adventure,Drama",60,"Henry Cavill,Joey Batey,Eamon Farren",8.0,582517,16,3,https://artworks.thetvdb.com/banners/v4/series/362696/backgrounds/61c624ab6135d.jpg
tt5198068,54383,movie,Wolfwalkers,2020,"Action,Adventure,Animation",103,"Simon McBurney,Sean Bean,Tommy Tiernan",8.0,39920,6,MOVIE,https://artworks.thetvdb.com/banners/movies/54383/backgrounds/5f5b5b3ec62fe.jpg
tt5232792,343253,series,Lost in Space,2018,"Adventure,Drama",60,"Toby Stephens,Ignacio Serricchio,Maxwell Jenkins",7.3,107325,6,3,https://artworks.thetvdb.com/banners/v4/series/343253/backgrounds/62c1e6d5b1a43.jpg
tt5269594,308986,series,Marcella,2016,"Crime,Drama,Mystery",45,"Ray Panthaki,Jack Doolan",7.3,38433,UNAVAILABLE,3,https://artworks.thetvdb.com/banners/v4/series/308986/backgrounds/66245987377fd.jpg
tt5315212,332796,movie,Senior Year,2022,"Comedy,Drama",111,"Justin Hartley,Zaire Adams,Sam Richardson",5.5,44937,UNAVAILABLE,MOVIE,https://artworks.thetvdb.com/banners/v4/movie/332796/backgrounds/626caf74521ae.jpg
tt5323662,894,movie,A Silent Voice: The Movie,2016,"Animation,Drama",130,"Toshiyuki Toyonaga,Kenshô Ono,Miyu Irino",8.1,107146,UNAVAILABLE,MOVIE,https://artworks.thetvdb.com/banners/v4/movie/894/backgrounds/63ba1702a929f.jpg
tt5363918,340234,series,Disenchantment,2018,"Action,Adventure,Animation",30,Eric André,7.2,74616,6,5,https://artworks.thetvdb.com/banners/v4/series/340234/backgrounds/62330e10edd59.jpg
tt5368542,311816,series,The Exorcist,2016,"Drama,Horror,Mystery",45,"Alfonso Herrera,Ben Daniels,Kurt Egyiawan",7.9,32294,12,2,https://artworks.thetvdb.com/banners/v4/series/311816/backgrounds/65417df5a0d0e.jpg
tt5420376,311954,series,Riverdale,2017,"Crime,Drama,Mystery",45,Cole Sprouse,6.5,157645,12,7,https://artworks.thetvdb.com/banners/v4/series/311954/backgrounds/607ef83c71afc.jpg
tt5421602,322971,series,Anne with an E,2017,Drama,60,"Lucas Jade Zumann,R.H. Thomson,Aymeric Jett Montaz",8.6,69501,6,3,https://artworks.thetvdb.com/banners/series/322971/panels/62096696.jpg
tt5462326,414,movie,Mom and Dad,2017,"Comedy,Horror,Thriller",86,"Nicolas Cage,Robert T. Cunningham,Zackary Arthur",5.6,28241,UNAVAILABLE,MOVIE,https://artworks.thetvdb.com/banners/v4/movie/414/backgrounds/657ffbe2a3cb6.jpg
tt5540054,317654,series,The Tick,2016,"Action,Adventure,Comedy",29,"Peter Serafinowicz,Griffin Newman,Brendan Hines",7.4,20141,6,2,https://artworks.thetvdb.com/banners/v4/series/317654/backgrounds/66aaca625c1dc.jpg
tt5555260,311714,series,This Is Us,2016,"Comedy,Drama,Romance",45,"Justin Hartley,Sterling K. Brown,Milo Ventimiglia",8.7,162807,12,6,https://artworks.thetvdb.com/banners/v4/series/311714/backgrounds/61c715d9b89d7.jpg
tt5574490,304262,series,Animal Kingdom,2016,"Crime,Drama",60,"Shawn Hatosy,Ben Robson,Jake Weary",8.2,44842,16,6,https://artworks.thetvdb.com/banners/v4/series/304262/backgrounds/62b02502ab985.jpg
tt5607976,360295,series,His Dark Materials,2019,"Adventure,Drama,Fantasy",60,"Amir Wilson,Will Keen,Kit Connor",7.8,87411,12,3,https://artworks.thetvdb.com/banners/v4/series/360295/backgrounds/652af6813ce80.jpg
tt5614844,341455,series,Cloak & Dagger,2018,"Action,Adventure,Drama",44,"Aubrey Joseph,JD Evermore",6.6,22754,12,2,https://artworks.thetvdb.com/banners/v4/series/341455/backgrounds/6547f4f1696a6.jpg
tt5626028,305074,series,My Hero Academia,2016,"Action,Adventure,Animation",24,"Daiki Yamashita,Nobuhiko Okamoto,Justin Briner",8.2,84913,12,7,https://artworks.thetvdb.com/banners/v4/series/305074/backgrounds/6496bb0caf543.jpg
tt5645432,367392,series,The Old Man,2022,"Action,Drama,Thriller",61,"Jeff Bridges,John Lithgow,Gbenga Akinnagbe",7.6,52908,UNAVAILABLE,2,https://artworks.thetvdb.com/banners/v4/series/367392/backgrounds/62add3b1c2c98.jpg
tt5651844,314544,series,Travelers,2016,"Drama,Mystery,Sci-Fi",45,"Eric McCormack,Reilly Dolman,Jared Abrahamson",8.0,66556,12,3,https://artworks.thetvdb.com/banners/v4/series/314544/backgrounds/6157820d601a3.jpg
tt5672290,166248,movie,The First Omen,2024,Horror,119,"Ralph Ineson,Charles Dance,Tawfeek Barhom",6.5,54302,16,MOVIE,https://artworks.thetvdb.com/banners/v4/movie/166248/backgrounds/665933d3873d6.jpg
tt5673782,322399,series,Genius,2017,Drama,50,"Seth Gabel,Antonio Banderas",8.2,20356,6,4,https://artworks.thetvdb.com/banners/v4/series/322399/backgrounds/60c0d984e4283.jpg
tt5675620,331980,series,The Punisher,2017,"Action,Crime,Drama",60,"Ben Barnes,Jason R. Moore,Jon Bernthal",8.4,272113,16,2,https://artworks.thetvdb.com/banners/v4/series/331980/backgrounds/60dccc860df65.jpg
tt5691552,328487,series,The Orville,2017,"Adventure,Comedy,Drama",44,"Seth MacFarlane,Scott Grimes,Peter Macon",8.0,102289,12,3,https://artworks.thetvdb.com/banners/v4/series/328487/backgrounds/612bdcbd85824.jpg
tt5706996,322246,series,Girlboss,2017,Comedy,26,"RuPaul,Johnny Simmons,Alphonso McAuley",7.0,20022,6,1,https://artworks.thetvdb.com/banners/v4/series/322246/backgrounds/6636fbec730c5.jpg
tt5710514,8042,movie,I Don't Feel at Home in This World Anymore,2017,"Comedy,Crime,Drama",93,"Chris Doubek,Macon Blair,Jared Roylance",6.9,65017,UNAVAILABLE,MOVIE,https://artworks.thetvdb.com/banners/v4/movie/8042/backgrounds/625648db9a7eb.jpg
tt5715524,349659,series,Mayans M.C.,2018,"Crime,Drama,Thriller",60,"JD Pardo,Clayton Cardenas,Michael Irby",7.5,25271,16,5,https://artworks.thetvdb.com/banners/v4/series/349659/backgrounds/663b9ce59e324.jpg
tt5715874,847,movie,The Killing of a Sacred Deer,2017,"Drama,Horror,Mystery",121,"Bill Camp,Herb Caillouet,Barry G. Bernson",7.0,195799,UNAVAILABLE,MOVIE,https://artworks.thetvdb.com/banners/v4/movie/847/backgrounds/66c42a8ce139d.jpg
tt5743796,359326,series,Warrior,2019,"Action,Crime,Drama",60,"Jason Tobin,Andrew Koji,Kieran Bew",8.4,47256,16,3,https://artworks.thetvdb.com/banners/series/359326/backgrounds/5f65ff9fd62bd.jpg
tt5753856,334824,series,Dark,2017,"Crime,Drama,Mystery",60,"Louis Hofmann,Andreas Pietschmann",8.7,463270,12,3,https://artworks.thetvdb.com/banners/series/334824/backgrounds/5ea44aa4bc56d.jpg
tt5774002,368388,series,Jupiter's Legacy,2021,"Action,Adventure,Drama",56,"Ben Daniels,Josh Duhamel",6.7,41490,16,1,https://artworks.thetvdb.com/banners/series/368388/backgrounds/6035173bc9250.jpg
tt5774060,20977,movie,Underwater,2020,"Action,Horror,Sci-Fi",95,"T.J. Miller,Mamoudou Athie,Vincent Cassel",5.9,100408,12,MOVIE,https://artworks.thetvdb.com/banners/movies/20977/backgrounds/25870280.jpg
tt5788792,326791,series,The Marvelous Mrs. Maisel,2017,"Comedy,Drama",60,"Kevin Pollak,Michael Zegen,Tony Shalhoub",8.7,146241,16,5,https://artworks.thetvdb.com/banners/v4/series/326791/backgrounds/6435d19ee3f8f.jpg
tt5822112,415584,series,Rabbit Hole,2023,"Action,Drama,Thriller",88,"Kiefer Sutherland,Walt Klink,Rob Yang",7.4,21689,16,1,https://artworks.thetvdb.com/banners/v4/series/415584/backgrounds/641788ca3c16e.jpg
tt5834204,321239,series,The Handmaid's Tale,2017,"Drama,Sci-Fi,Thriller",60,"Max Minghella,O-T Fagbenle,Joseph Fiennes",8.4,263912,16,5,https://artworks.thetvdb.com/banners/v4/series/321239/backgrounds/635d0895dfbdd.jpg
tt5853176,320766,series,The Good Fight,2017,"Crime,Drama",45,"Michael Boatman,Nyambi Nyambi,Delroy Lindo",8.3,33291,16,6,https://artworks.thetvdb.com/banners/v4/series/320766/backgrounds/65e69860c36bd.jpg
tt5884052,3130,movie,Pokémon: Detective Pikachu,2019,"Action,Adventure,Comedy",104,"Justice Smith,Bill Nighy,Ryan Reynolds",6.5,186663,6,MOVIE,https://artworks.thetvdb.com/banners/movies/3130/backgrounds/2195434.jpg
tt5905354,318009,series,Vikingane,2016,Comedy,30,"Jon Øigarden,Nils Jørgen Kaalstad,Kåre Conradi",7.7,21945,16,3,https://artworks.thetvdb.com/banners/series/318009/backgrounds/62032974.jpg
tt5912064,315908,series,Kim's Convenience,2016,Comedy,22,"Paul Sun-Hyung Lee,Andrew Phung,Simu Liu",8.2,25214,12,5,https://artworks.thetvdb.com/banners/series/315908/panels/62052643.jpg
tt5957766,328774,series,Loudermilk,2017,"Comedy,Drama",30,"Ron Livingston,Brian Regan,Will Sasso",7.9,20539,16,3,https://artworks.thetvdb.com/banners/v4/series/328774/backgrounds/6213d6aa5809f.jpg
tt5962210,3462,movie,Ingrid Goes West,2017,"Comedy,Drama",98,"Wyatt Russell,O'Shea Jackson Jr.,Billy Magnussen",6.6,48763,UNAVAILABLE,MOVIE,https://artworks.thetvdb.com/banners/v4/movie/3462/backgrounds/6372c3fd8705a.jpg
tt5968394,17378,movie,Captive State,2019,"Action,Horror,Sci-Fi",109,"John Goodman,Ashton Sanders,Jonathan Majors",6.0,58905,UNAVAILABLE,MOVIE,https://artworks.thetvdb.com/banners/v4/movie/17378/backgrounds/6382c7a93ffc7.jpg
tt5994364,317220,series,Guardian: The Lonely and Great God,2016,"Comedy,Drama,Fantasy",120,"Lee Dong-wook,Yook Sung-jae,Gong Yoo",8.6,30107,UNAVAILABLE,1,https://artworks.thetvdb.com/banners/v4/series/317220/backgrounds/67672523b62b2.jpg
tt6048596,326866,series,The Sinner,2017,"Crime,Drama,Mystery",45,"Adam LeFevre,Dohn Norwood,Bill Pullman",7.9,142343,16,4,https://artworks.thetvdb.com/banners/v4/series/326866/backgrounds/614e4b01be11b.jpg
tt6107548,17329,movie,Late Night,2019,"Comedy,Drama",102,"Hugh Dancy,John Lithgow,Reid Scott",6.5,41391,UNAVAILABLE,MOVIE,https://artworks.thetvdb.com/banners/movies/17329/panels/2195392.jpg
tt6111130,328687,series,S.W.A.T.,2017,"Action,Adventure,Crime",43,"Shemar Moore,David Lim,Jay Harrington",7.2,35331,12,8,https://artworks.thetvdb.com/banners/v4/series/328687/backgrounds/63387fe0446c5.jpg
tt6128300,328749,series,Dynasty,2017,Drama,42,"Rafael de la Fuente,Robert Christopher Riley",7.2,25425,12,5,https://artworks.thetvdb.com/banners/v4/series/328749/backgrounds/622c73c9b6ff1.jpg
tt6141246,17351,movie,The Aeronauts,2019,"Action,Adventure,Drama",100,"Vincent Perez,Eddie Redmayne,Himesh Patel",6.6,38185,12,MOVIE,https://artworks.thetvdb.com/banners/movies/17351/backgrounds/62017188.jpg
tt6143796,320737,series,Workin' Moms,2017,"Comedy,Drama",30,"Ryan Belleville,Philip Sternberg",7.8,23922,6,7,https://artworks.thetvdb.com/banners/series/320737/backgrounds/62033626.jpg
tt6156584,364928,series,Snowpiercer,2020,"Action,Drama,Sci-Fi",60,"Iddo Goldberg,Daveed Diggs",6.9,66942,16,4,https://artworks.thetvdb.com/banners/v4/series/364928/backgrounds/61f7c2ad26a78.jpg
tt6166392,95846,movie,Wonka,2023,"Adventure,Comedy",116,"Murray McArthur,Timothée Chalamet,Gustave Die",7.0,160890,6,MOVIE,https://artworks.thetvdb.com/banners/v4/movie/95846/backgrounds/666fba64d2c59.jpg
tt6212478,727,movie,American Animals,2018,"Crime,Drama",116,"Spencer Reinhard,Warren Lipka,Eric Borsuk",7.0,50188,UNAVAILABLE,MOVIE,https://artworks.thetvdb.com/banners/v4/movie/727/backgrounds/66c4285619087.jpg
